Numero,D,Dif.,Depart de la randonnee,Parcours,C.V. *,Kl,➚m,Ref Openrunner,Dernier Prog,Lien,
337,257,3,Fontaine de Vaucluse,Sur les traces du pastoralisme Vauclusien,"3,5","11,5",455,0020180029,23/11/2021,0020180029,
394,288,2,Fontaine de Vaucluse,entre Fontaine et Lagne,"3,5",10,400,0020122203,12/5/2022,0020122203,
538,397,3,Fontaine de Vaucluse,Mourre de la belle etoile,"3,5",13,714,0020148101,8/3/2022,0020148101,
554,411,2,Fontaine de Vaucluse,Tour de la Fontaine,"3,5",9,300,0020122096,30/12/1899,0020122096,
77,76,3,Gigondas,les Dentelles sarrasines,"3,5",8,400,0019591316,17/12/2024,0019591316,
85,84,3,Gigondas, (pkg salle des fetes)-les Dentelles,"3,5",12,300,0019769387,24/1/2023,0019769387,
89,88,3,Gigondas,Les 3 yeux et Dentelles sarrasines,"3,5",11,402,0020071313,6/2/2024,0020071313,
132,131,3,Gigondas,Col du Cayron tour sarrasine 3yeux,"3,5",9,300,0019951830,5/10/2023,0019951830,
388,283,2,Gigondas,Pkg des florets -le tour des Dentelles,"3,5",9,330,0020180465,21/4/2022,0020180465,
494,364,3,Gigondas,Dentelles,3,13,350,,19/2/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
503,372,2,Gigondas,les florets-Col du Cayron - 3 yeux,3,9,360,,21/3/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
143,142,2,Gordes,Les 3 termes,3,10,180,0020043779,16/11/2023,0020043779,
159,158,3,Gordes, parking des Luquets-Autour de Gordes,4,13,300,0020085874,25/10/2022,0020085874,
274,228,3,Gordes, 3 termes-vallon de ferriere,3,14,400,0020121809,22/4/2021,0020121809,
514,381,3,Gordes,Senanque,"3,5","12,5",400,,30/4/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
546,404,2,Gordes,chateau-Les sentiers de memoire du maquis de Gordes Circuit A,,11,424,,10/10/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
17,17,2,Goult,les Beaumettes-Lumiere,"4,5",13,400,0012625757,29/2/2024,0012625757,
21,21,2,Goult,Mange Tian,"4,5",10,300,0019591611,14/3/2024,0019591611,
52,52,3,Jas des melettes,Belvedere,3,14,400,0020041786,10/9/2024,0020041786,
214,186,2,Jas des melettes,Perrache,"3,5",8,250,,7/11/2019,https://www.openrunner.com/r/,
326,251,2,Jas des melettes,Jas du Roussas par le vallon des pointes,"3,5",9,330,0020147761,20/5/2021,0020147761,
385,281,3,Jas des melettes,Combe brune,"3,5",13,210,0020180460,12/4/2022,0020180460,
391,285,3,Jas des melettes,les glacieres,"3,5",14,644,,3/5/2022,https://www.openrunner.com/r/,
560,417,3,Jas des melettes, jas des Melettes-Perrache le rat,"3,5",10,300,0020147824,8/6/2021,0020147824,
35,35,4,Joucas,Moulins de veroncle (echelles et cordes),4,10,300,0020072164,2/5/2024,0020072164,
271,225,2,Joucas,Veroncle,4,12,426,0020141678,22/10/2020,0020141678,
544,402,2,Joucas,Vaumale,4,9,275,,3/10/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
491,362,2,La Cremade,Saumane,"2,5",9,300,,7/2/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
66,65,3,La Roque Alric,Entre carabelle et Graveyron,3,10,370,0020147691,29/10/2024,0020147691,
364,269,2,La Roque Alric,La Roque Alric,3,7,257,0020180165,27/1/2022,0020180165,
511,378,2,La Roque Alric, (Pie Logier)-Pie logier,3,9,350,,18/4/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
350,263,3,la Roque d'Antheron,pkg P1-Abbaye de Silvacane (attention passage avec une corde),10,13,350,,28/12/2021,https://www.openrunner.com/r/,
220,188,2,La Roque sur Perne,la Roque - Mourre d'aspic,"2,5",10,300,,28/11/2019,https://www.openrunner.com/r/,
298,237,2,La Roque sur Perne,la Cremade,"2,5",8,250,,11/2/2021,https://www.openrunner.com/r/,
346,262,2,La Roque sur Perne,La grange neuve (-St Gens La croix,"2,5",9,350,0020180206,16/12/2021,0020180206,
555,412,2,La Roque sur Perne,(la grange neuve)-Petite boucle dans les Monts du Vaucluse,2,9,300,0020142058,8/4/2021,0020142058,
489,360,2,La rouviere,Venasque Vaulongue,"2,5",8,300,,31/1/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
539,398,2,Lacoste,Pking foret de cedres -foret de cedres portalas,"5,5",10,250,,19/9/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
